title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
对冲基金重建仓位 日元套利交易有卷土重来之势,2024-08-16 09:29:51,格隆汇8月16日｜两周前，以日元为中心的热门套利交易刚刚经历了平仓风暴，但现在似乎有了悄然卷土重来之势。8月5日以来，日元兑美元已贬值超过5%。日本央行鹰派政策行动、围绕美企财报的不安情绪以及疲软的非农就业报告曾推动日元在当日升至七个月高点。野村国际注意到，许多投资者又开始抛售日元，将所得资金投向其他收益率更高的资产。这表明，一直热衷于套利交易的企业客户和对冲基金正重新投身这些交易。野村驻伦敦G-10货币现汇交易主管Antony Foster称，在美国零售销售数据超出预期后，“套利交易明显回归”。他说，多个账户卖出日元，买入澳元和英镑。据ATFX Global Markets数据，过去一周日元空头头寸增加了30%-40%左右，其中很大一部分来自对冲基金和高净值客户。,JPY,,2024-08-16 01:29:51,20240817
,2024-08-16 09:47:22,格隆汇8月16日｜美元兑日元下跌0.3%至148.85。,JPY,,2024-08-16 01:47:22,20240817
策略师：9月将成各类资产的分水岭 欧元料接棒日元主宰市场,2024-08-16 14:25:29,格隆汇8月16日｜策略师Mark Cranfield指出，日元在本月占据了各大新闻头条，然而接下来指挥棒将会传给欧元，成为全球货币走势的下一个驱动力。欧元/美元在未来几周看起来将走高，这将有助于提振发达国家和新兴市场货币。交易员预计，未来几个月美联储降息幅度将超过欧洲央行。即便如此，尽管欧元/美元在过去两个月大幅攀升，但杠杆仓位仍偏向欧元净空头，这意味着短期内可能出现更多欧元空头回补。9月将成为各资产类别的分水岭，届时欧洲央行将率先召开会议，随后是美联储和日本央行。当投资者消化完所有前瞻性指引后，来自欧洲方面的指引可能是三者中最不鸽派的，这将给欧元增添顺风。,JPY,,2024-08-16 06:25:29,20240817
对冲基金重建仓位 日元套利交易有卷土重来之势,2024-08-16 15:07:56,"格隆汇8月16日｜据彭博，两周前，以日元为中心的热门套利交易刚刚经历了平仓风暴，但现在似乎有了悄然卷土重来之势。8月5日以来，日元兑美元已贬值超过5%。日本央行鹰派政策行动、围绕美企财报的不安情绪以及疲软的非农就业报告曾推动日元在当日升至七个月高点。
日本最大的券商野村注意到，许多投资者又开始借入日元，将所得资金投向其他收益率更高的资产。这表明，一直热衷于套利交易的企业客户和对冲基金正重新投身这些交易。野村驻伦敦G-10货币现汇交易主管Antony Foster称，在美国零售销售数据超出预期后，“套利交易明显回归”。他说，多个账户卖出日元，买入澳元和英镑。",JPY,,2024-08-16 07:07:56,20240817
机构：随着对美国经济衰退的担忧消退，日元势将录得周度下跌,2024-08-16 18:09:30,格隆汇8月16日｜日元兑美元周五一度小幅上扬，但料将录得6月以来最大单周跌幅，此前美国公布的一系列经济数据缓解了对经济衰退的担忧，并支撑了对美联储逐步放松货币政策的押注。富达国际宏观和战略资产配置全球主管Salman Ahmed表示：“我们认为经济增长放缓，通胀亦正在放缓，美联储将开始降息，但不会出现恐慌局面，而一两周前，恐慌还在蔓延。我们仍然认为，我们将看到2—3次降息，很可能是2次而不是3次，除非我们在上一份就业报告中看到的失业率持续上升。”,JPY,,2024-08-16 10:09:30,20240817
,2024-08-16 18:15:44,格隆汇8月16日｜美元兑日元USD/JPY日内跌0.5%，报148.53。,JPY,,2024-08-16 10:15:44,20240817
,2024-08-16 19:45:43,格隆汇8月16日｜美元兑日元USD/JPY回落至148下方，日内跌0.86%。,JPY,,2024-08-16 11:45:43,20240817
,2024-08-16 20:32:08,格隆汇8月16日｜美元兑日元USD/JPY日内走低1%，报147.78。,JPY,,2024-08-16 12:32:08,20240817
对冲基金在套利交易爆仓后转为看多日元,2024-08-17 06:18:01,格隆汇8月17日｜外汇市场的剧烈波动导致一种热门日元交易爆仓后，对冲基金对该货币的态度发生了180度大转弯，变成了2021年以来首次看多。商品期货交易委员会（CFTC）涵盖截至8月13日当周的最新数据显示，为日元上涨布局的投机性交易成了净多数。而这些人就在不久前的7月初还负面情绪爆棚。CFTC的数据显示，杠杆基金手握86份押注日元升值的合约，价值约700万美元。仓位的变化发生在市场押注日本央行继续加息导致日元上涨之后。尽管东京给这些预期泼了冷水，但波动性导致投资者抛售所谓的日元套利交易。,JPY,,2024-08-16 22:18:01,20240817
美元指数周五跌超0.6%，日元涨超1.1%重返148上方,2024-08-17 06:49:16,格隆汇8月17日｜周五（8月16日）纽约尾盘，ICE美元指数下跌0.63%，报102.403点，整天呈现出平滑的震荡下行走势，北京时间22:00发布美国通胀预期调查报告后，跌幅一度略微收窄，本周累计下跌0.71%，逼近8月14日发布美国CPI通胀数据后跌至的本周底部102.270点。亚洲货币中，美元兑日元跌1.12%，报147.61日元，本周累涨0.69%，8月15日美国零售销售数据发布后，一度涨至149.39。,JPY,,2024-08-16 22:49:16,20240817
