title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
,2024-10-22 09:15:29,格隆汇10月22日｜人民币兑美元中间价较上日调降241点至7.1223。,CNH,,2024-10-22 01:15:29,20241023
外汇局：2024年9月银行结汇16829亿元人民币 售汇13417亿元人民币,2024-10-22 10:02:06,格隆汇10月22日｜国家外汇管理局统计数据显示，2024年9月，银行结汇16829亿元人民币，售汇13417亿元人民币。2024年1-9月，银行累计结汇119140亿元人民币，累计售汇127786亿元人民币。2024年9月，银行代客涉外收入44641亿元人民币，对外付款40380亿元人民币。2024年1-9月，银行代客累计涉外收入373863亿元人民币，累计对外付款373677亿元人民币。,CNH,,2024-10-22 02:02:06,20241023
国家外汇管理局：我国外汇市场表现出较强韧性,2024-10-22 10:07:08,格隆汇10月22日｜据央视，国务院新闻办今天举行新闻发布会，国家外汇管理局副局长李红燕表示，今年以来我国外汇市场表现出较强韧性，近期形势趋稳向好，人民币汇率保持基本稳定，外汇市场交易理性有序，国际收支保持基本平衡。未来，我国外汇市场更有基础和条件保持稳定运行。,CNH,,2024-10-22 02:07:08,20241023
,2024-10-22 10:09:40,格隆汇10月22日｜国家外汇管理局今日在国新办新闻发布会上发布数据，前三季度我国境内人民币外汇市场交易量总计30.27万亿美元，同比增长10.1%。,CNH,,2024-10-22 02:09:40,20241023
国家外汇局：近期外资配置人民币资产呈现良好势头 未来还有进一步增配的空间,2024-10-22 10:13:02,格隆汇10月22日｜国家外汇局今日在国新办新闻发布会上介绍，近期外资配置人民币资产呈现良好势头，未来还有进一步增配的空间。我国经济基本面稳中向好，提供了良好的宏观环境；我国完善高水平开放，提供了良好的政策环境；人民币资产具有分散风险的多元配置效果，提供了良好的投资价值。,CNH,,2024-10-22 02:13:02,20241023
国家外汇局：人民币的升幅在全球范围内属于平均水平 对于进出口的影响比较温和,2024-10-22 10:41:57,格隆汇10月22日｜国家外汇局副局长李红燕表示，从汇率变化来看，今年以来境内人民币对美元的即期汇率（CNY）总体小幅贬值0.3%左右，人民币汇率在双向波动中保持基本稳定。即使8、9月人民币对美元汇率出现了比较明显的回升，也是美元走弱后各种非美元货币的普遍反应，并且人民币的升幅在全球范围内也属于一个平均水平，对于进出口的影响是比较温和的。,CNH,,2024-10-22 02:41:57,20241023
国家外汇局：人民币汇率在双向波动中保持基本稳定,2024-10-22 10:49:01,格隆汇10月22日｜国家外汇管理局副局长李红燕表示，从汇率变化来看，今年以来境内人民币对美元的即期汇率(CNY)总体小幅贬值0.3%左右，人民币汇率在双向波动中保持基本稳定。即使8、9月人民币对美元汇率出现了比较明显的回升，也是美元走弱后各种非美元货币的普遍反应，并且人民币的升幅在全球范围内也属于一个平均水平，对于进出口的影响是比较温和的。,CNH,,2024-10-22 02:49:01,20241023
国家外汇局：今年以来人民币汇率没有出现非常明显的升值或者贬值预期,2024-10-22 10:50:42,格隆汇10月22日｜国家外汇管理局副局长李红燕表示，外汇远期和期权市场的相关指标显示，今年以来人民币汇率没有出现非常明显的升值或者贬值预期，市场交易总体保持理性有序。大家都看到了，近期人民币汇率有升有贬、弹性增强，企业等主体基于跨境贸易和投融资需求择机结售汇，9月份结售汇规模合计较8月份增长14%。同时，近年来企业汇率风险中性意识不断增强，8、9月份远期结汇签约规模环比均有增长，表明企业通过汇率风险管理积极适应市场波动。,CNH,,2024-10-22 02:50:42,20241023
CNH HIBOR主要期限利率涨跌不一,2024-10-22 11:33:40,格隆汇10月22日｜一年期HIBOR小跌至2.34894%，创10月10日以来新低；香港金管局200亿元人民币的日间回购协议流动性已被调用逾七成。隔夜HIBOR回落13个基点至1.80727%，暂时脱离两周高点；一周期的HIBOR小升至2.29621%，两周期HIBOR升至2.32591%，均触及一周高点。,CNH,,2024-10-22 03:33:40,20241023
人民币继续保持深港间第一大跨境结算货币,2024-10-22 15:11:57,格隆汇10月22日｜据央视，从中国人民银行深圳市分行了解到，2024年前三季度，深圳跨境人民币收付合计3.5万亿元，同比增长7.8%。其中，深港间跨境人民币收付金额达2.9万亿元，同比增长11.8%，占两地间本外币跨境收付金额比重达60.1%，人民币继续保持深港间第一大跨境结算货币。,CNH,,2024-10-22 07:11:57,20241023
,2024-10-22 16:33:02,格隆汇10月22日｜在岸人民币兑美元10月22日16:30收盘报7.1212，较上一交易日下跌94点。,CNH,,2024-10-22 08:33:02,20241023
,2024-10-23 06:19:36,格隆汇10月23日｜在岸人民币兑美元北京时间03:00收报7.1240，较上一交易日夜盘收盘跌30点。成交量390.41亿美元。,CNH,,2024-10-22 22:19:36,20241023
,2024-10-23 06:31:07,格隆汇10月23日｜离岸人民币（CNH）兑美元北京时间04:59报7.1357元，较周一纽约尾盘涨7点，盘中整体交投于7.1390-7.1299元区间。,CNH,,2024-10-22 22:31:07,20241023
